women,woman
men,man
children,child
chicken,chick
teeth,tooth
feet,foot
people,person
leaves,leaf
mice,mouse
geese,goose
halves,half
knives,knife
wives,wife
lives,life
elves,elf
loaves,loaf
potatoes,potato
heroes,hero
tomatoes,tomato
cacti,cactus
foci,focus
fungi,fungus
nuclei,nucleus
syllabuses,syllabus
syllabi,syllabus
analyses,analysis
diagnoses,diagnosis
oases,oasis
theses,thesis
crises,crisis
phenomena,phenomenon
criteria,criterion
data,datum
news,news
athletics,athletics
linguistics,linguistics
darts,darts
billiards,billiards
trousers,trousers
jeans,jeans
glasses,glasses
business,business
