Linux 4.15.0-101-generic (vertica) 	08/28/20 	_x86_64_	(48 CPU)

17:29:57      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
17:29:58     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica
17:29:59     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:00     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica
17:30:01     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:02     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica
17:30:03     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:04     1011    293247    1.00    0.00    0.00    0.00    1.00     1  vertica
17:30:05     1011    293247    0.00    1.00    0.00    0.00    1.00     1  vertica
17:30:06     1011    293247    1.00    0.00    0.00    0.00    1.00     1  vertica
17:30:07     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:08     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica
17:30:09     1011    293247    2.00    0.00    0.00    0.00    2.00     1  vertica
17:30:10     1011    293247    1.00    0.00    0.00    0.00    1.00     1  vertica
17:30:11     1011    293247    0.00    1.00    0.00    0.00    1.00     1  vertica
17:30:12     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:13     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica
17:30:14     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:15     1011    293247    1.00    0.00    0.00    0.00    1.00     1  vertica
17:30:16     1011    293247    0.00    1.00    0.00    0.00    1.00     1  vertica
17:30:17     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica
17:30:18     1011    293247    0.00    0.00    0.00    0.00    0.00     1  vertica
17:30:19     1011    293247    1.00    1.00    0.00    0.00    2.00     1  vertica

Average:     1011    293247    0.59    0.45    0.00    0.00    1.05     -  vertica
